tff_id,team,player,tff_pos,tff_cost,2024-08-16T19:00:00Z,2024-08-17T11:30:00Z,2024-08-17T14:00:00Z,2024-08-17T16:30:00Z,2024-08-18T13:00:00Z,2024-08-18T15:30:00Z,2024-08-19T19:00:00Z,2024-08-24T11:30:00Z,2024-08-24T14:00:00Z,2024-08-24T16:30:00Z,2024-08-25T13:00:00Z,2024-08-25T15:30:00Z,2024-08-31T11:30:00Z,2024-08-31T14:00:00Z,2024-08-31T16:30:00Z,2024-09-01T12:30:00Z,2024-09-01T15:00:00Z,2024-09-14T11:30:00Z,2024-09-14T14:00:00Z,2024-09-14T16:30:00Z,2024-09-14T19:00:00Z,2024-09-15T13:00:00Z,2024-09-15T15:30:00Z,2024-09-21T11:30:00Z,2024-09-21T14:00:00Z,2024-09-21T16:30:00Z,2024-09-22T13:00:00Z,2024-09-22T15:30:00Z,2024-09-28T11:30:00Z,2024-09-28T14:00:00Z,2024-09-28T16:30:00Z,2024-09-29T13:00:00Z,2024-09-29T15:30:00Z,2024-09-30T19:00:00Z,total_pts,ppm
116535,LIV,A.Becker,G,4.5,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,3.76,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,25.21,5.6
144485,BRE,Toney,F,5.2,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,5.08,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,25.01,4.81
219847,ARS,Havertz,F,5.1,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,2.82,0.0,4.84,0.0,0.0,0.0,0.0,24.83,4.87
169187,LIV,Alexander-Arnold,D,5.2,0.0,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,3.43,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,0.0,24.66,4.74
178186,WHU,Bowen,M,5.3,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,24.18,4.56
226597,ARS,Gabriel,D,4.3,0.0,0.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,2.51,0.0,4.97,0.0,0.0,0.0,0.0,23.89,5.56
60307,BHA,Gross,M,3.9,0.0,0.0,3.86,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,23.55,6.04
232826,NEW,Gordon,M,4.7,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,3.73,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,23.43,4.98
61366,MCI,De Bruyne,M,6.7,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,3.52,0.0,0.0,0.0,0.0,0.0,23.26,3.47
98747,NEW,Pope,G,4.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.0,3.72,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,23.16,5.79
122798,LIV,Robertson,D,5.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,3.23,0.0,4.02,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,23.06,4.61
243016,LIV,Mac Allister,M,4.2,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,3.61,0.0,3.74,0.0,0.0,0.0,0.0,0.0,4.02,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,22.66,5.4
231747,CRY,Mateta,F,4.1,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.72,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,22.46,5.48
204480,ARS,Rice,M,4.6,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.89,0.0,4.12,0.0,0.0,0.0,0.0,22.34,4.86
